Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,36,51,23,30,06,16,19,27,23,32,43,40,29,***,***,20,21,33
1881,31,22,04,00,03,34,08,05,27,44,37,24,18,19,31,00,10,36
1882,26,21,02,32,25,30,28,15,24,52,32,67,21,18,08,18,24,36
1883,57,66,15,29,24,13,03,22,32,15,42,15,28,32,63,22,12,29
1884,16,10,63,59,36,41,41,51,45,44,57,47,43,40,14,53,44,49
1885,-1.00,45,24,49,58,45,34,41,39,36,37,11,43,46,64,44,40,38
1886,74,83,70,36,33,37,14,43,32,31,40,20,43,42,56,47,31,34
1887,-1.07,70,43,38,25,20,24,55,20,48,26,42,43,41,66,35,33,32
1888,48,61,63,21,14,02,01,21,19,03,00,23,23,24,50,33,07,07
1889,27,30,01,16,03,06,07,20,29,41,61,54,17,14,07,04,11,44
1890,63,57,47,25,36,15,23,39,35,09,62,47,38,39,58,36,26,35
1891,46,67,15,35,15,12,12,12,07,28,52,03,25,29,53,22,12,29
1892,50,17,67,45,24,05,37,32,20,27,82,66,39,34,23,45,25,43
1893,-1.50,95,31,29,42,17,13,33,28,27,33,60,47,47,-1.03,34,21,29
1894,90,41,20,53,25,40,20,26,32,27,47,34,38,40,64,33,29,35
1895,69,80,49,18,30,20,18,27,06,08,12,22,30,31,61,32,22,09
1896,36,17,48,59,16,07,00,10,12,05,20,20,19,19,25,41,01,09
1897,38,40,38,04,14,05,05,06,06,16,26,29,16,15,33,09,02,16
1898,05,44,78,26,27,08,12,18,17,36,49,27,28,28,23,44,12,34
1899,12,63,59,23,24,36,15,05,03,05,35,46,20,19,34,35,19,12
1900,62,14,06,10,04,10,11,08,02,23,12,02,09,12,40,02,10,03
1901,35,08,27,10,11,02,02,15,27,31,19,40,12,09,15,09,04,26
1902,14,02,36,35,38,40,33,28,32,33,47,60,33,31,18,36,34,37
1903,23,11,16,46,43,46,42,55,48,46,40,56,37,38,24,35,47,45
1904,75,61,45,50,44,48,59,54,63,38,08,33,48,50,64,46,54,37
1905,40,82,22,44,28,27,21,24,18,25,11,16,28,29,52,31,24,11
1906,55,54,20,06,24,11,27,17,23,17,40,04,23,25,41,13,18,27
1907,57,72,30,45,58,50,39,38,39,19,56,58,47,42,42,44,43,38
1908,53,27,70,47,28,29,35,57,30,44,63,55,45,45,46,48,40,46
1909,93,44,66,65,49,52,45,36,37,33,11,57,49,49,64,60,44,27
1910,36,38,48,42,31,45,38,39,42,31,61,82,44,42,43,40,41,45
1911,70,58,62,45,45,35,38,42,37,19,20,30,42,46,70,51,38,25
1912,34,16,60,15,13,14,52,77,80,85,51,56,46,44,27,29,48,72
1913,55,63,47,49,54,48,51,45,41,38,15,11,41,47,58,50,48,31
1914,18,09,34,39,18,22,34,27,29,00,22,05,18,17,07,30,27,17
1915,27,09,22,07,00,13,09,14,19,26,02,23,13,12,14,05,12,16
1916,10,17,37,34,37,50,33,36,48,35,46,-1.12,41,34,17,36,40,43
1917,50,67,75,65,73,48,32,40,30,63,32,-1.05,57,57,76,71,40,42
1918,69,47,27,59,50,46,34,37,26,04,22,56,40,44,74,45,39,17
1919,38,40,38,23,43,39,34,31,20,09,48,56,35,35,45,35,35,26
1920,15,29,00,21,22,27,26,32,35,40,45,72,30,29,33,14,28,40
1921,18,09,11,17,24,14,03,29,17,00,10,12,11,16,21,17,15,09
1922,39,63,11,16,18,15,28,37,42,30,12,15,27,27,38,15,26,28
1923,18,47,39,54,39,24,30,28,17,07,16,11,22,24,27,44,27,02
1924,27,20,03,26,06,20,23,27,23,23,11,36,18,14,12,10,23,11
1925,27,36,22,16,22,26,26,20,05,09,23,23,14,19,33,20,24,03
1926,54,19,38,13,23,21,20,07,06,04,15,30,01,05,32,01,16,05
1927,29,07,47,27,15,14,09,17,02,24,09,37,14,13,22,30,13,12
1928,25,08,23,33,18,33,11,19,16,09,04,04,11,14,01,24,21,07
1929,56,80,20,36,28,40,36,21,20,03,04,66,34,29,46,28,32,09
1930,13,19,11,16,21,12,04,01,03,02,44,08,02,08,33,08,05,14
1931,02,23,06,20,15,14,08,10,18,36,25,10,05,05,04,14,11,26
1932,39,19,21,10,11,15,15,08,10,13,33,22,06,03,10,07,13,03
1933,19,30,32,18,26,32,14,15,28,18,24,55,26,23,24,25,20,23
1934,14,33,27,29,08,02,04,10,15,13,27,17,00,06,12,16,05,08
1935,40,56,03,36,28,15,04,07,05,11,32,16,09,07,11,20,08,09
1936,29,50,12,06,00,04,09,02,06,08,15,14,03,06,32,06,05,10
1937,09,24,23,07,12,15,15,16,28,33,24,01,12,13,16,06,15,28
1938,35,29,35,31,02,07,03,07,15,31,30,13,16,17,21,23,01,25
1939,03,01,24,09,01,00,05,08,12,07,25,77,08,01,04,11,04,14
1940,11,14,03,27,16,16,15,06,26,28,29,35,17,20,27,15,12,28
1941,17,46,12,12,23,21,25,18,10,50,17,19,22,24,33,15,21,26
1942,40,09,01,08,16,10,02,08,10,28,25,26,12,11,16,08,00,21
1943,09,38,01,31,23,07,02,10,13,46,36,37,18,17,18,18,00,32
1944,62,43,31,18,25,17,14,16,36,44,19,00,27,30,47,25,16,33
1945,12,06,10,29,08,08,06,28,20,24,09,21,11,12,02,16,14,18
1946,34,09,12,32,03,05,04,10,04,02,07,45,03,05,07,16,06,02
1947,04,03,29,23,07,00,03,04,01,40,19,05,08,05,18,19,02,19
1948,30,15,27,02,17,05,01,03,03,08,03,39,02,01,04,04,03,03
1949,23,09,04,03,00,20,11,05,10,06,05,14,03,05,09,00,12,00
1950,29,27,06,22,04,06,18,20,09,06,34,13,15,15,23,07,15,16
1951,36,51,19,06,17,02,08,22,33,28,08,38,04,00,33,01,09,23
1952,16,17,22,17,15,16,14,07,14,01,21,01,06,09,24,03,12,03
1953,23,37,25,41,25,25,21,18,17,27,09,23,24,23,21,30,22,18
1954,24,00,17,01,07,04,11,01,09,13,34,11,02,01,01,08,05,19
1955,43,12,43,24,13,10,05,07,02,12,34,28,09,08,06,27,03,08
1956,04,32,23,26,30,20,20,28,32,28,26,11,23,25,22,27,23,29
1957,13,05,10,09,06,12,11,16,12,06,12,24,04,01,10,08,13,10
1958,68,28,16,02,12,05,04,13,07,07,02,18,15,16,40,10,07,06
1959,23,16,33,22,04,14,05,09,13,04,03,10,12,13,19,20,09,04
1960,15,42,40,13,03,18,08,11,12,05,08,39,08,05,22,16,12,03
1961,17,29,22,14,07,18,06,04,03,04,07,17,08,13,29,14,09,00
1962,27,36,30,22,02,13,10,03,02,13,12,10,13,10,15,18,00,07
1963,08,50,11,04,05,04,10,14,13,42,43,03,14,14,23,04,07,33
1964,04,02,32,30,10,09,13,23,28,31,21,27,19,17,01,24,15,27
1965,02,37,09,26,14,20,18,20,20,02,04,08,14,16,22,16,20,06
1966,25,03,00,22,05,06,11,14,06,10,02,03,02,02,10,09,10,01
1967,18,37,23,05,21,06,04,06,02,30,04,02,03,02,19,16,02,10
1968,29,16,44,00,06,05,08,08,04,01,21,33,07,04,14,13,07,09
1969,43,46,20,04,12,04,06,05,04,03,15,31,03,08,40,01,02,07
1970,02,28,07,02,00,02,04,05,04,20,01,31,04,01,19,03,02,08
1971,15,21,28,20,12,14,13,16,14,16,02,14,15,17,22,20,14,11
1972,54,52,01,12,15,10,05,09,26,04,20,05,18,18,40,09,08,17
1973,15,44,32,19,09,16,04,03,08,08,10,04,09,09,18,20,08,09
1974,25,35,03,10,19,18,12,11,16,22,21,27,18,16,21,09,14,20
1975,16,09,10,05,02,08,06,13,07,17,30,22,05,06,00,05,09,18
1976,05,12,31,02,26,20,26,21,12,51,32,25,21,20,10,18,22,32
1977,15,11,26,25,23,23,08,02,13,02,28,02,12,10,10,25,11,13
1978,16,04,21,07,06,14,07,14,01,00,16,02,02,02,08,08,12,05
1979,05,35,18,17,01,08,05,04,19,23,24,54,08,04,13,01,06,22
1980,21,41,07,15,26,19,13,09,10,12,21,09,17,21,39,16,14,14
1981,80,62,68,39,18,28,09,16,14,23,35,54,37,33,50,42,18,24
1982,14,16,06,17,09,01,04,07,06,00,11,38,05,07,19,11,00,02
1983,55,35,42,06,05,11,20,25,26,12,49,11,25,27,43,18,19,29
1984,33,02,18,07,23,09,09,06,04,09,10,42,04,08,15,12,08,02
1985,08,29,00,04,08,00,08,02,03,02,02,16,00,05,21,02,03,02
1986,36,31,26,15,19,14,02,04,02,09,04,06,13,14,28,20,05,03
1987,25,51,00,07,23,16,26,27,39,22,10,50,25,21,27,10,23,24
1988,59,46,47,44,43,40,42,26,27,23,06,43,37,38,52,45,36,19
1989,08,39,46,32,23,24,32,26,23,25,12,33,27,28,30,33,27,20
1990,47,54,1.16,71,50,48,33,41,42,48,46,38,53,52,45,79,40,45
1991,59,57,46,56,33,47,43,35,35,29,32,20,41,43,51,45,42,32
1992,61,50,54,16,19,05,10,07,18,17,09,21,14,14,43,30,04,15
1993,39,52,39,23,32,22,12,02,07,12,21,22,19,19,37,31,12,05
1994,34,05,49,48,39,42,34,32,33,54,50,36,37,36,17,45,36,46
1995,75,1.19,59,71,41,50,37,54,43,60,57,26,58,58,77,57,47,53
1996,26,54,32,17,35,25,29,18,04,04,35,35,26,26,36,28,24,14
1997,37,60,74,49,42,49,41,48,51,63,59,51,52,51,44,55,46,58
1998,62,1.04,72,87,66,73,75,72,61,54,49,74,71,69,72,75,73,55
1999,59,1.00,29,54,36,35,35,30,40,39,53,66,48,49,77,40,33,44
2000,38,89,83,89,54,44,41,47,36,29,19,27,50,53,64,76,44,28
2001,56,46,76,60,69,51,63,68,56,60,97,65,64,61,43,68,61,71
2002,1.02,1.14,1.11,51,52,68,66,55,63,54,79,42,71,73,94,71,63,65
2003,93,57,66,61,72,54,68,86,78,99,66,98,75,70,64,66,69,81
2004,66,92,87,70,52,47,50,55,60,70,98,45,66,70,85,69,51,76
2005,95,72,95,93,77,79,75,69,90,95,1.05,83,86,82,70,88,74,97
2006,65,96,78,59,76,81,70,69,82,96,94,1.15,82,79,81,71,73,91
2007,1.45,89,93,1.07,72,65,65,73,67,83,82,77,85,88,1.17,91,68,77
2008,33,58,1.14,65,60,61,60,58,57,86,96,65,68,69,56,80,60,80
2009,82,70,58,70,66,68,68,72,85,79,84,67,72,72,72,65,70,83
2010,81,94,1.10,1.13,94,85,89,86,71,90,1.20,52,90,92,81,1.06,86,93
2011,62,56,89,84,66,76,72,71,74,90,66,87,74,71,56,80,73,77
2012,65,59,69,1.06,97,94,85,76,86,91,98,46,81,84,70,91,85,92
2013,85,79,82,68,78,77,69,73,71,83,1.13,85,80,77,70,76,73,89
2014,98,71,1.20,1.08,90,82,76,91,84,93,81,1.10,92,90,85,1.06,83,86
2015,1.20,1.19,1.32,1.02,1.04,1.05,92,1.01,1.17,1.29,1.38,1.55,1.18,1.14,1.16,1.13,99,1.28
2016,1.56,1.94,1.89,1.48,1.12,1.12,1.05,1.13,1.23,1.04,1.12,1.05,1.31,1.35,1.68,1.49,1.10,1.13
2017,1.39,1.52,1.52,1.19,93,93,97,1.02,1.01,1.05,1.23,1.39,1.18,1.15,1.32,1.21,97,1.10
2018,1.15,1.24,1.18,97,1.01,86,91,87,97,1.23,97,1.10,1.04,1.06,1.26,1.05,88,1.06
2019,1.21,1.12,1.55,1.24,98,1.19,1.03,1.10,1.21,1.30,1.19,1.40,1.21,1.19,1.14,1.26,1.11,1.24
2020,1.59,1.70,1.66,1.40,1.28,1.13,1.10,1.12,1.20,1.21,1.61,1.21,1.35,1.37,1.56,1.45,1.12,1.34
2021,1.27,96,1.21,1.13,1.04,1.21,1.07,1.03,1.06,1.31,1.31,1.16,1.15,1.15,1.15,1.12,1.10,1.23
2022,1.25,1.17,1.43,1.09,1.01,1.13,1.06,1.17,1.16,1.32,1.10,1.08,1.16,1.17,1.19,1.18,1.12,1.19
2023,1.31,1.32,1.63,1.02,1.11,1.18,1.44,1.57,1.66,1.89,1.99,1.86,1.50,1.44,1.24,1.26,1.40,1.85
2024,1.64,1.94,1.77,***,***,***,***,***,***,***,***,***,***,***,1.82,***,***,***
