Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,01,03,06,02,13,25,17,06,05,15,01,05,05,***,***,03,12,07
1881,09,06,09,09,08,06,08,03,04,01,01,09,00,00,03,09,05,02
1882,06,07,07,02,05,16,05,00,04,03,01,07,01,00,07,00,07,01
1883,03,08,09,07,10,02,09,06,10,06,04,06,07,07,06,09,06,07
1884,09,06,10,21,32,29,22,07,11,06,10,15,15,14,07,21,19,09
1885,20,23,30,36,33,43,33,23,19,13,11,09,24,25,19,33,33,14
1886,14,20,17,20,15,32,21,19,14,24,15,29,20,18,15,17,24,18
1887,37,44,27,31,35,28,27,17,30,22,25,23,29,29,36,31,24,26
1888,20,13,21,19,29,31,20,10,04,06,07,15,12,15,19,23,20,03
1889,08,03,13,03,02,13,07,20,17,10,06,04,04,02,09,06,13,11
1890,21,32,33,35,43,33,32,39,37,39,25,16,32,31,19,37,35,34
1891,21,25,20,19,17,28,23,22,23,16,10,05,19,20,21,19,24,16
1892,09,06,14,21,23,38,26,21,13,00,03,11,15,15,07,19,28,05
1893,13,17,12,24,24,32,14,17,16,08,03,02,15,16,14,20,21,09
1894,14,15,23,35,35,40,26,20,22,17,03,06,21,21,10,31,29,14
1895,12,05,16,24,24,21,14,06,17,11,20,05,15,15,08,21,14,16
1896,08,07,03,01,15,29,05,01,01,09,12,13,03,04,07,06,11,07
1897,09,07,12,01,16,16,08,12,09,09,10,13,05,03,10,01,12,09
1898,10,16,23,33,33,30,33,36,25,32,26,20,26,26,13,30,33,27
1899,20,13,13,17,21,27,15,10,04,11,09,05,14,15,17,17,17,08
1900,10,03,04,07,13,09,13,08,05,01,01,10,06,06,04,08,10,02
1901,10,12,14,15,18,24,29,24,16,26,12,14,18,17,11,16,26,18
1902,18,14,17,17,24,22,22,30,23,26,25,22,22,21,15,19,24,25
1903,24,22,30,35,36,39,27,35,49,47,43,46,36,34,23,34,34,47
1904,51,56,56,50,59,48,42,43,47,38,25,31,45,47,51,55,44,37
1905,27,35,19,20,28,27,29,16,16,20,20,07,22,24,31,23,24,19
1906,02,03,16,14,26,27,18,23,31,23,35,33,20,18,03,19,23,29
1907,27,29,24,28,34,32,29,28,27,25,36,34,29,29,30,29,30,29
1908,34,38,39,40,46,46,33,35,40,42,41,42,40,39,35,42,38,41
1909,50,45,40,52,58,51,44,31,40,45,52,54,47,46,46,50,42,45
1910,49,45,52,43,38,32,30,33,34,50,53,53,43,43,49,44,31,45
1911,54,56,58,62,58,67,46,44,43,33,22,10,46,50,54,59,52,33
1912,14,11,14,18,29,32,31,30,33,29,25,29,24,23,12,20,31,29
1913,24,24,38,28,32,39,19,20,26,23,23,14,26,27,26,33,26,24
1914,07,08,11,19,22,27,12,04,02,04,07,01,10,11,10,17,14,04
1915,13,03,05,07,10,29,13,27,18,20,22,17,13,11,04,01,23,20
1916,15,12,17,26,32,47,40,20,23,33,47,51,30,28,15,25,36,35
1917,63,59,53,46,38,38,18,06,15,26,36,29,36,38,58,46,21,26
1918,27,23,25,30,37,28,28,26,08,05,02,00,20,22,26,31,27,04
